 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W),
1604,1044,0.6,12,7.2,0.43,59.2,
1608,1084,0.7,12,8.4,0.46,54.5,
1612,1121,0.7,12,8.4,0.49,58.3,
1616,1152,0.8,12,9.6,0.52,53.9,
1620,1186,0.8,12,9.6,0.55,57.2,
1624,1227,1,12,12.0,0.59,49.1,
1628,1263,1,12,12.0,0.63,52.2,
1632,1291,1.1,12,13.2,0.65,49.5,
1636,1322,1.2,12,14.4,0.68,47.6,
1640,1354,1.3,12,15.6,0.71,45.6,
1644,1385,1.4,12,16.8,0.76,45.1,
1648,1424,1.5,12,18.0,0.79,43.8,
1652,1453,1.6,12,19.2,0.83,43.2,
1656,1485,1.7,12,20.4,0.86,42.0,
1660,1515,1.8,12,21.6,0.89,41.4,
1664,1539,2,12,24.0,0.93,38.7,
1668,1567,2.1,12,25.2,0.97,38.3,
1672,1599,2.2,12,26.4,1.00,38.0,
1676,1632,2.3,12,27.6,1.04,37.6,
1680,1653,2.5,12,30.0,1.08,36.1,
1684,1686,2.8,12,33.6,1.14,33.9,
1688,1716,2.9,12,34.8,1.16,33.4,
1692,1741,3,12,36.0,1.20,33.3,
1696,1769,3.2,12,38.4,1.23,32.1,
1700,1796,3.3,12,39.6,1.28,32.3,
1704,1824,3.5,12,42.0,1.31,31.2,
1708,1854,3.67,12,44.0,1.35,30.7,
1712,1880,3.8,12,45.6,1.40,30.7,
1716,1911,4,12,48.0,1.43,29.9,
1720,1931,4.2,12,50.4,1.48,29.4,
1724,1964,4.4,12,52.8,1.53,29.0,
1728,1996,4.6,12,55.2,1.56,28.3,
1732,2017,4.8,12,57.6,1.63,28.3,
1736,2046,5,12,60.0,1.67,27.9,
1740,2070,5.2,12,62.4,1.71,27.4,
1744,2083,5.4,12,64.8,1.77,27.3,
1748,2118,5.69,12,68.3,1.82,26.6,
1752,2143,5.8,12,69.6,1.85,26.5,
1756,2169,6,12,72.0,1.91,26.5,
1760,2190,6.3,12,75.6,1.92,25.4,
1764,2229,6.5,12,78.0,1.96,25.2,
1768,2244,6.7,12,80.4,2.03,25.3,
1772,2269,7,12,84.0,2.09,24.8,
1776,2304,7.2,12,86.4,2.13,24.7,
1780,2330,7.5,12,90.0,2.18,24.2,
1784,2345,7.8,12,93.6,2.24,23.9,
1788,2391,8,12,96.0,2.27,23.7,
1792,2411,8.32,12,99.8,2.33,23.4,
1796,2432,8.64,12,103.7,2.40,23.1,
1800,2456,8.9,12,106.8,2.46,23.1,
1804,2482,9.24,12,110.9,2.51,22.6,
1808,2508,9.5,12,114.0,2.56,22.5,
1812,2535,9.82,12,117.8,2.62,22.2,
1816,2562,10.14,12,121.7,2.65,21.8,
1820,2585,10.45,12,125.4,2.71,21.6,
1824,2613,10.72,12,128.6,2.78,21.6,
1828,2620,11.1,12,133.2,2.84,21.4,
1832,2661,11.32,12,135.8,2.87,21.1,
1836,2681,11.62,12,139.4,2.93,21.0,
1840,2698,12.01,12,144.1,3.01,20.9,
1844,2721,12.37,12,148.4,3.04,20.5,
1848,2751,12.61,12,151.3,3.08,20.4,
1852,2773,13.04,12,156.5,3.16,20.2,
1856,2782,13.44,12,161.3,3.23,20.0,
1860,2808,13.7,12,164.4,3.26,19.8,
1864,2835,14.11,12,169.3,3.32,19.6,
1868,2859,14.4,12,172.8,3.38,19.6,
1872,2879,14.76,12,177.1,3.40,19.2,
1876,2904,15.13,12,181.6,3.45,19.0,
1880,2923,15.52,12,186.2,3.50,18.8,
1884,2937,15.87,12,190.4,3.57,18.7,
1888,2962,16.3,12,195.6,3.64,18.6,
1892,2976,16.74,12,200.9,3.71,18.4,
1896,2994,16.86,12,202.3,3.69,18.2,
1900,2995,16.91,12,202.9,3.71,18.3,
